Task,DistCategory,ParamName,ParamValue,Distribution,Policy,Mean,Mean_Std,CVaR10,CVaR10_Std,Min,Min_Std
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.1,Langevin (Noise=0.0001) | Gradient Scale=0.1,UDR,399.07843695746527,26.319702905962558,95.92814805772569,17.94213392034869,12.976259761386448,9.434623006375057
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.5,Langevin (Noise=0.0001) | Gradient Scale=0.5,RSDR (β=-30),249.23142569405692,6.495771251218915,74.79386683872768,6.5776235357315676,11.736100946153913,5.1315447984302995
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.5,Langevin (Noise=0.0001) | Gradient Scale=0.5,RSDR (β=-20),248.34361436631946,7.878175885959923,76.86133236355252,5.53975653881661,14.238412857055664,2.1783609003404165
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.5,Langevin (Noise=0.0001) | Gradient Scale=0.5,RSDR (β=-10),248.24361419677734,8.135224130874864,75.91630744934082,10.223022116877848,12.625173250834147,3.249065748222067
AcrobotSwingup,Langevin (Noise=0.0001),Gradient Scale,0.5,Langevin (Noise=0.0001) | Gradient Scale=0.5,UDR,244.5408647325304,9.9520339656491,73.19272952609592,10.690060387598937,11.99859725104438,2.9067359449235
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.0,Langevin (Noise=0.005) | Gradient Scale=0.0,RSDR (β=-30),550.2283063616071,31.731261088890808,359.8709803989955,44.36785601156027,20.996045930044993,6.875735435943706
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.0,Langevin (Noise=0.005) | Gradient Scale=0.0,RSDR (β=-20),535.0477532280815,28.268881461200042,346.28585137261285,15.334101826621877,24.851138856675888,10.814653685212836
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.0,Langevin (Noise=0.005) | Gradient Scale=0.0,RSDR (β=-10),520.9814147949219,35.38217992110349,340.5612080891927,20.9592766560745,27.54438050587972,12.50392915271447
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.0,Langevin (Noise=0.005) | Gradient Scale=0.0,UDR,508.1219075520833,32.44311260008804,273.1363033718533,42.46335319917128,17.33514388402303,8.296774262231645
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.01,Langevin (Noise=0.005) | Gradient Scale=0.01,RSDR (β=-30),474.04454258510043,31.049300272075055,122.07145254952567,20.4347659315247,13.923483712332589,4.548856950022679
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.01,Langevin (Noise=0.005) | Gradient Scale=0.01,RSDR (β=-20),467.06514146592883,20.275035337982285,136.46724277072482,35.01176119118186,13.061336835225424,5.716095727603781
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.01,Langevin (Noise=0.005) | Gradient Scale=0.01,RSDR (β=-10),423.44240315755206,30.263334051588707,127.90010070800781,36.11346599253444,13.868959108988443,5.105562668914747
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.01,Langevin (Noise=0.005) | Gradient Scale=0.01,UDR,368.59185112847223,29.038920812380375,76.2283452351888,15.687793542294855,12.176261266072592,6.490873931861974
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.05,Langevin (Noise=0.005) | Gradient Scale=0.05,RSDR (β=-30),497.16598074776783,33.02574897518787,187.98218645368303,29.18038097085148,14.451769147600446,4.783436117542271
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.05,Langevin (Noise=0.005) | Gradient Scale=0.05,RSDR (β=-20),481.3479817708333,18.74581159092856,180.34127129448785,25.30406569389769,14.209227561950684,7.154397278509715
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.05,Langevin (Noise=0.005) | Gradient Scale=0.05,RSDR (β=-10),443.1017252604167,34.00024554481955,163.07301330566406,21.223929332643742,18.38987684249878,10.60084304103849
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.05,Langevin (Noise=0.005) | Gradient Scale=0.05,UDR,391.5765143500434,25.271758978683323,94.66431681315105,22.540974552189983,13.30706230799357,7.204040499402686
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.1,Langevin (Noise=0.005) | Gradient Scale=0.1,RSDR (β=-30),487.2942112513951,24.59125765282369,137.1870564052037,10.962068744377644,15.050745555332728,4.744317053742795
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.1,Langevin (Noise=0.005) | Gradient Scale=0.1,RSDR (β=-20),465.81380886501734,20.976389921890718,137.1782285902235,20.637218832808585,13.310779200659859,5.643222737785255
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.1,Langevin (Noise=0.005) | Gradient Scale=0.1,RSDR (β=-10),433.1308898925781,36.112045545821715,132.0952631632487,24.512447813895598,17.441754976908367,4.001490141973619
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.1,Langevin (Noise=0.005) | Gradient Scale=0.1,UDR,388.48681640625,28.53780781174319,88.7427266438802,16.178307965611406,14.062930001152885,9.837843349600051
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.5,Langevin (Noise=0.005) | Gradient Scale=0.5,RSDR (β=-10),214.28968811035156,10.030484169296262,67.28627904256184,10.371309578538092,12.030090173085531,0.9707981050783763
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.5,Langevin (Noise=0.005) | Gradient Scale=0.5,RSDR (β=-20),213.58298916286893,5.758880241050668,64.64204618665907,4.1546817040716695,11.447397814856636,3.2974902875758967
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.5,Langevin (Noise=0.005) | Gradient Scale=0.5,UDR,213.1630164252387,9.772284093983991,63.01404486762153,5.3900324709417475,10.620026588439941,1.814355119965442
AcrobotSwingup,Langevin (Noise=0.005),Gradient Scale,0.5,Langevin (Noise=0.005) | Gradient Scale=0.5,RSDR (β=-30),211.8334197998047,5.565723385227258,66.26461628505162,5.30143349696161,11.252855709620885,3.7313132446252517
AcrobotSwingup,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,RSDR (β=-30),583.4076625279018,31.3143239193628,397.2940979003906,45.78952451215594,23.040149007524764,9.036562159042973
AcrobotSwingup,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,RSDR (β=-20),562.4942694769966,32.32606648474032,388.6558430989583,18.290487908603655,17.0075069003635,5.436470954616656
AcrobotSwingup,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,RSDR (β=-10),547.2401631673177,37.34906245162374,370.2231852213542,17.646471658947906,24.9348570505778,9.079127807511657
AcrobotSwingup,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,UDR,532.9012247721354,32.44348920002693,399.1548563639323,50.68541843664513,207.55239783393012,52.34130101367518
AcrobotSwingup,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,RSDR (β=-30),582.6339198521206,31.509359528897836,398.4944763183594,45.3479602707397,19.794954299926758,6.05482993072516
AcrobotSwingup,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,RSDR (β=-20),561.4426947699653,31.82987163767268,387.6949768066406,18.980672335078605,21.593701150682236,8.858267982403072
AcrobotSwingup,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,RSDR (β=-10),545.8870290120443,37.04573587422584,368.33628845214844,18.582959850596513,27.516326268513996,11.013483451742903
AcrobotSwingup,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,UDR,533.6903415256077,32.082840680726825,304.223395453559,53.964080418368376,21.798283576965332,12.402805699670578
AcrobotSwingup,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,RSDR (β=-30),550.2283063616071,31.731261088890808,359.8709803989955,44.36785601156027,20.996045930044993,6.875735435943706
AcrobotSwingup,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,RSDR (β=-20),535.0477532280815,28.268881461200042,346.28585137261285,15.334101826621877,24.851138856675888,10.814653685212836
AcrobotSwingup,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,RSDR (β=-10),520.9814147949219,35.38217992110349,340.5612080891927,20.9592766560745,27.54438050587972,12.50392915271447
AcrobotSwingup,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,UDR,508.1219075520833,32.44311260008804,273.1363033718533,42.46335319917128,17.33514388402303,8.296774262231645
AcrobotSwingup,Random Walk,Noise Scale,0.01,Random Walk | Noise Scale=0.01,RSDR (β=-30),498.26297433035717,29.331990466956803,260.56995936802457,40.449642662587806,24.975392614092147,8.718927371185554
AcrobotSwingup,Random Walk,Noise Scale,0.01,Random Walk | Noise Scale=0.01,RSDR (β=-20),487.4668782552083,26.87362894275746,253.9874064127604,17.300710975160154,21.292501979404026,5.31111028301706
AcrobotSwingup,Random Walk,Noise Scale,0.01,Random Walk | Noise Scale=0.01,RSDR (β=-10),480.3206837972005,33.141867637720296,269.6861521402995,18.639948176323042,20.109289169311523,7.787254199352224
AcrobotSwingup,Random Walk,Noise Scale,0.01,Random Walk | Noise Scale=0.01,UDR,463.9438781738281,29.811255649323442,211.38934156629773,34.90287035140989,17.28711223602295,8.662090377687054
