Task,DistCategory,ParamName,ParamValue,Distribution,Policy,Mean,Mean_Std,CVaR10,CVaR10_Std,Min,Min_Std
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.0,Langevin (Noise=0.0) | Gradient Scale=0.0,RSDR (β=-20),838.2549133300781,3.7129884909625273,655.10888671875,4.997957306141667,411.0138130187988,29.212726999346735
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.0,Langevin (Noise=0.0) | Gradient Scale=0.0,RSDR (β=-30),793.0899658203125,6.049765312630119,647.7075500488281,5.734139798009155,422.598087310791,26.877327605204336
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.001,Langevin (Noise=0.0) | Gradient Scale=0.001,UDR,839.7966384887695,4.532438996072079,534.3233795166016,15.465426185947766,247.32054138183594,34.54927685298623
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.001,Langevin (Noise=0.0) | Gradient Scale=0.001,RSDR (β=-10),836.3678741455078,4.39811266966171,575.2198486328125,18.579982824491175,318.06031799316406,20.526198850514994
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.001,Langevin (Noise=0.0) | Gradient Scale=0.001,RSDR (β=-20),823.7098770141602,4.029375169945799,590.9251708984375,6.682517459919069,337.7333679199219,24.50561316149312
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.001,Langevin (Noise=0.0) | Gradient Scale=0.001,RSDR (β=-30),779.817985534668,5.93189987174394,592.5754470825195,8.132837386214453,336.59386444091797,22.176455368951572
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.005,Langevin (Noise=0.0) | Gradient Scale=0.005,RSDR (β=-10),793.043830871582,6.50224990204928,488.8562431335449,24.84131738406191,251.55950736999512,26.649315575633533
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.005,Langevin (Noise=0.0) | Gradient Scale=0.005,UDR,791.9477005004883,5.467316374403654,430.80725479125977,18.390372938082013,208.09002494812012,23.28476279702496
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.005,Langevin (Noise=0.0) | Gradient Scale=0.005,RSDR (β=-20),783.0328521728516,5.003469675532525,513.904972076416,11.855698498555524,273.56921577453613,16.976678385647812
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.005,Langevin (Noise=0.0) | Gradient Scale=0.005,RSDR (β=-30),743.4045867919922,5.694954030861584,522.7854423522949,12.339947635372985,287.2912178039551,20.564824442308925
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,RSDR (β=-10),779.5874252319336,7.213709810151834,461.2086639404297,25.61060334032772,242.22027015686035,17.673692089974317
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,UDR,776.4880294799805,6.081924575695027,399.0958442687988,20.201592985044208,203.10967636108398,22.216807318730506
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,RSDR (β=-20),770.9094619750977,5.326378562406484,487.9278869628906,13.94249288063191,265.4010372161865,19.938985159124822
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,RSDR (β=-30),732.9277267456055,5.588991457933612,498.26593017578125,12.918375796899529,277.9369239807129,18.138135257031593
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,RSDR (β=-10),639.1085968017578,8.8522299005979,301.8807678222656,14.982236945696853,197.77093696594238,17.983192794383683
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,RSDR (β=-20),636.0944366455078,7.883160040155215,319.76800537109375,14.2983696286666,217.99177932739258,20.14048131103464
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,UDR,625.4428329467773,8.272337959935923,257.56438064575195,17.062771653587546,173.57728958129883,20.251282791777157
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,RSDR (β=-30),615.0186462402344,6.638644855575592,332.55810165405273,15.601010157606812,217.9331874847412,19.853347083974466
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,RSDR (β=-20),426.180965423584,16.405939824256322,241.7259578704834,21.546972443363586,199.06566429138184,17.29441071820279
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,RSDR (β=-30),424.3856391906738,14.00634170389587,238.3036994934082,18.58160707306563,194.3503189086914,17.968726927074165
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,RSDR (β=-10),419.3367805480957,13.097351062698745,217.89678955078125,13.125403126251765,180.9109592437744,17.617523185950134
WalkerWalk,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,UDR,385.4347038269043,14.749837238145501,188.71138954162598,22.527678553760033,161.56637001037598,21.164102901299827
